main_category,title,average_rating,rating_number,features,description,price,images,videos,store,categories,details,parent_asin,bought_together,subtitle,author
All Beauty,"Zydeco Chop Chop Cajun Seasoning Base, 8 Ounce Resealable Bags (Pack of Two - 1 Pound Total)",4.7,21,"['All Natural blend of Dehydrated Onion, Dehydrated Garlic, Dehydrated Red and Green Bell Pepper, Dehydrated Celery, Dehydrated Green Onion, and Dehydrated Parsley flakes'
 'No MSG, No Salt Added and Gluten Free. Pack of Two 8 Ounce resealable bags (1 Pound total)'
 'Use as a replacement for the Cajun Trinity - quick and easy veggie base for gumbo, etouffee, jambalaya, bisques and more'
 'Saves time shopping/chopping, money and waste versus keeping produce on hand at all times - ready to add to your favorite dish in just minutes'
 'Certified Cajun by the state of Louisiana - From Opelousas, LA deep in the heart of Cajun Country.']","['Zydeco Chop Chop is a blend of Dehydrated Onion, Dehydrated Garlic, Dehydrated Red and Green Bell Pepper, Dehydrated Celery, Dehydrated Green Onion, and Dehydrated Parsley flakes. Created from a rich tradition rooted deep in Cajun culture, Zydeco Chop Chop is already blended and ready to use in anything from traditional Cajun favorites to regular American fare. Use liberally as a replacement for the Cajun Trinity (Onions, Bell Pepper and Celery). Simply rehydrate with a 1/2 cup of water for every 1/4 cup of Chop Chop Cajun Seasoning Base (8 Ounce Bag yields approximately 8 servings), saving time chopping up produce the old-fashioned way. Provides a Cajun twist on all manner of dishes including cornbread or rice dressing, chicken or potato salad, crab cakes, jambalaya, etouffee, deviled eggs, breakfast strata, stuffed peppers and more - the possibilities are endless. From Opelousas, Louisiana deep in the heart of Cajun Country.']",None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71707mY6tkL._SL1318_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51hGpA1YYEL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51hGpA1YYEL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",BORELTH,[],"{""Package Dimensions"": ""9.61 x 7.17 x 3.07 inches; 1.41 Pounds"", ""UPC"": ""736684086978"", ""Manufacturer"": ""Zydeco Chop Chop""}",B0BTLTVR1X,,,
All Beauty,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",4.5,167,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71Q2P-Qht8L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/712+JBmHxAL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71sgn3XdLSL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71IovulGynL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81Ok7MO64cL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71VAoV+OuBL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71AbuLfbdEL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71bkQgMTX-L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71FZ4CzyocL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51EnPDcnK4L.jpg',
       'https://m.media-amazon.com/images/I/51WeEI2M-IL.jpg',
       'https://m.media-amazon.com/images/I/51jAPuIWg9L.jpg',
       'https://m.media-amazon.com/images/I/51Uh+Lo8lFL.jpg',
       'https://m.media-amazon.com/images/I/51em9CxX7-L.jpg',
       'https://m.media-amazon.com/images/I/41THe8eHgFL.jpg',
       'https://m.media-amazon.com/images/I/51vXxl+tCrL.jpg',
       'https://m.media-amazon.com/images/I/51MV90K6wTL.jpg',
       'https://m.media-amazon.com/images/I/51haa9MEVPL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51EnPDcnK4L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51WeEI2M-IL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51jAPuIWg9L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51Uh+Lo8lFL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51em9CxX7-L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41THe8eHgFL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51vXxl+tCrL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51MV90K6wTL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51haa9MEVPL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07',
       'PT08'], dtype=object)}","{'title': array(['Organic Sweet Almond Oil and Coconut Oil',
       'Organic Natural Moisturizing Sweet Almond Oil by Shiny Leaf',
       'Rehydrate natural hair #haircare #naturalhair',
       'Silky Smooth Coconutty Wonder Oil With So Many Great Uses',
       'NOW Solutions, Sweet Almond Oil Review!',
       'I use this after waxing, as a hair oil, for derma-planing ',
       'Body care routine #skincare #beauty #bodycare ',
       ""Pura d'or mct fractionated coconut oil review "",
       'Sweet Almond Oil Review',
       ""Our Point of View on PURA D'OR Organic Sweet Almond Oil""],
      dtype=object), 'url': array(['https://www.amazon.com/vdp/78bb9dafd25743beab5b4c4703660a38?ref=dp_vse_rvc_0',
       'https://www.amazon.com/vdp/0ee4db59aaec47939c526596e0ae77e0?ref=dp_vse_rvc_1',
       'https://www.amazon.com/vdp/095965c4c0ea4f7e81ac3f0a0d1163da?ref=dp_vse_rvc_2',
       'https://www.amazon.com/vdp/0dfa5ea42fac45b7978bc8ae0ec7eb8e?ref=dp_vse_rvc_3',
       'https://www.amazon.com/vdp/09bd904bc8eb4c70b5863f3c733e627a?ref=dp_vse_rvc_4',
       'https://www.amazon.com/vdp/0bdb5b7d51c341fb9a982dda2bd3d5af?ref=dp_vse_rvc_5',
       'https://www.amazon.com/vdp/06f18c004866470f8aecdf2c2237ce4f?ref=dp_vse_rvc_6',
       'https://www.amazon.com/vdp/03b0a7c0592c4004adaaea0974830c3c?ref=dp_vse_rvc_7',
       'https://www.amazon.com/vdp/0ddb5898075d477aaf193b2a98c1ddfc?ref=dp_vse_rvc_8',
       'https://www.amazon.com/vdp/07ca56d8eb364fea876a9591ba1c1810?ref=dp_vse_rvc_9'],
      dtype=object), 'user_id': array(['', '', '/shop/influencer-99029ed3', '/shop/startanonlinebusiness',
       '/shop/influencer-98d451b5', '/shop/influencer-74e6ffad',
       '/shop/influencer-99029ed3', '/shop/hlscrystalshop',
       '/shop/lacouflipse', '/shop/influencer-20a38664'], dtype=object)}",Shiny Leaf,[],"{""Brand"": ""Shiny Leaf"", ""Scent"": ""Almond Oil and Fractionated Coconut"", ""Item Form"": ""Oil"", ""Unit Count"": ""32.00 Fl Oz"", ""Number of Items"": ""2"", ""Package Dimensions"": ""8.62 x 5.04 x 2.48 inches; 2.23 Pounds"", ""UPC"": ""781584950669""}",B08LYT4Q2X,,,
All Beauty,"Havtyyise-3 sets of men's and women's bathing exfoliating gloves, bath sponge with handle, loofah set is suitable for deep cleansing of the skin and body dead skin remover (about 31 inches long)",3.9,9,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71Klu6IwtTS._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81Lwyb+9noS._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/81wmPUyvsUS._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71k3wFN15mS._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71FNMcN1gxS._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71S0n+ILx4S._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71oolY0DWuS._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51p3G5zY3RS.jpg',
       'https://m.media-amazon.com/images/I/51xPzc-AjtS.jpg',
       'https://m.media-amazon.com/images/I/514wOnzXmhS.jpg',
       'https://m.media-amazon.com/images/I/41cIxrmA7DS.jpg',
       'https://m.media-amazon.com/images/I/51VMAIqcsDS.jpg',
       'https://m.media-amazon.com/images/I/51sx90x9XhS.jpg',
       'https://m.media-amazon.com/images/I/5188wXhGQsS.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51p3G5zY3RS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51xPzc-AjtS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/514wOnzXmhS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41cIxrmA7DS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51VMAIqcsDS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51sx90x9XhS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/5188wXhGQsS._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Havtyyise,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""30.71 x 3.35 x 9.06 inches; 8.78 Ounces""}",B094QK5NSZ,,,
All Beauty,"OSRSR Cryo Sticks,Unbreakable Stainless Steel Beauty Ice Facial Massage Tools for Woman,Skin Case Ice Globes Cryo Spoons,Cooling Globes Cold Globes for Face,Eyes & Neck",4.5,107,"['PREMIUM QUALITY ICE GLOBES: OSRSR cryo sticks for facial are made from 304 stainless steel and filled with non-toxic cooling gel. So they are no happen break, durable and stays cold for long!'
 'PROFESSIONAL CRYO FACIAL THERAPHY: The ice globes for face can reduce puffiness, shrink pores, soothes inflammations, swollen eyes and dark circles, help promote blood circulation. You will feel like you brought your facial at home.'
 'RELIEVE YOUR STRESS: The cooling globes for face help with tightening the skin and removes fatigue. This Cryo facial massage tool is contributing to the repair and regeneration of skin cell and stimulate collagen.'
 'SAFE & EASY TO USE: Place the cold globes for facials in the freezer or refrigerator for 2 hours and then use the facial globes for up to 5-6 hours, Pair over your creams or other skin care products!'
 'ELEGANTLY PACKAGE: 2 PC facial massage cryo sticks and use instruction with Storage Case in Luxury Box. OSRSR cold rollers make the perfect birthday or Christmas present for women mom wife Girlfriend. Perfect as a gift for your loved ones and even for yourself!']",[],17.49,"{'hi_res': array(['https://m.media-amazon.com/images/I/51zmtkdHURL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61RiiePHSAL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61XRrcvE6lL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61h+8dT012L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61TwXM+-8cL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61e2T9Ua2qL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/51rHEsgdzUL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61kfmLd1DVL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31UqcNDT0LL.jpg',
       'https://m.media-amazon.com/images/I/41OpBupUUWL.jpg',
       'https://m.media-amazon.com/images/I/31ByJTHWIRL.jpg',
       'https://m.media-amazon.com/images/I/31MrZlHpGpL.jpg',
       'https://m.media-amazon.com/images/I/41KhR6jF1UL.jpg',
       'https://m.media-amazon.com/images/I/31KxrpKAdhL.jpg',
       'https://m.media-amazon.com/images/I/31U5y43evVL.jpg',
       'https://m.media-amazon.com/images/I/318ovOoqD4L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31UqcNDT0LL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41OpBupUUWL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31ByJTHWIRL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31MrZlHpGpL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41KhR6jF1UL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31KxrpKAdhL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31U5y43evVL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/318ovOoqD4L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07'],
      dtype=object)}","{'title': array(['Cryo Sticks Ice Globes Facial Skin Care Tools for Face Eyes',
       'Radiance Facial Cryo Ice Globes by Elated Life',
       'Skin Care Must haves for de-puffing ', 'Ice Globes for Facials',
       'Depuffing Skincare Routine', 'White Facial Globes'], dtype=object), 'url': array(['https://www.amazon.com/vdp/015e7cfcef7e4f779499a2cd81e542d3?ref=dp_vse_rvc_0',
       'https://www.amazon.com/vdp/05f852f49dfc469dbb12e228f7942b5f?ref=dp_vse_rvc_1',
       'https://www.amazon.com/vdp/0c2130a554ca457eb8a64f81c94ca0d7?ref=dp_vse_rvc_2',
       'https://www.amazon.com/vdp/02d93e45fae44b35ab44c7d38dfa5dfb?ref=dp_vse_rvc_3',
       'https://www.amazon.com/vdp/00cd63c414fa46308c03e0549bd3f3a8?ref=dp_vse_rvc_4',
       'https://www.amazon.com/vdp/0b6c1a3e900343568b4d351e794e7af2?ref=dp_vse_rvc_5'],
      dtype=object), 'user_id': array(['', '', '/shop/influencer-98cb6f3c', '',
       '/shop/influencer-98cb6f3c', ''], dtype=object)}",OSRSR,[],"{""Material"": ""Stainless Steel"", ""Brand"": ""OSRSR"", ""Water Resistance Level"": ""Not Water Resistant"", ""Package Dimensions"": ""7.91 x 5.63 x 2.24 inches; 11.68 Ounces"", ""Item model number"": ""OSRSR021"", ""UPC"": ""726324604273"", ""Manufacturer"": ""OSRSR""}",B0924GT395,,,
All Beauty,JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,4.1,58,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71xqMeRq4VL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71oXDOAhvbL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/715auay2ZvL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71g5tfoBi1L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71xkOIzMhEL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71MnypPbasL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/61aIA+W6tWL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71j18LLZE3L._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51k5fHmCzlL.jpg',
       'https://m.media-amazon.com/images/I/51atkcJ+rCL.jpg',
       'https://m.media-amazon.com/images/I/51uUB-UyZxL.jpg',
       'https://m.media-amazon.com/images/I/41o4I2VPOwL.jpg',
       'https://m.media-amazon.com/images/I/51WEVRCfzDL.jpg',
       'https://m.media-amazon.com/images/I/512ygG5APTL.jpg',
       'https://m.media-amazon.com/images/I/41iI97WuqPL.jpg',
       'https://m.media-amazon.com/images/I/51gZg837boL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51k5fHmCzlL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51atkcJ+rCL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51uUB-UyZxL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41o4I2VPOwL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51WEVRCfzDL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/512ygG5APTL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41iI97WuqPL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51gZg837boL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",JPNK,[],"{""Material"": ""Plastic"", ""Brand"": ""JPNK"", ""Hair Type"": ""Wavy,Straight"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""12 x 3.1 x 0.7 inches; 5.61 Ounces""}",B081ZN3TD5,,,
All Beauty,"Vanilla by Body Fantasies, 3 Pack 8 oz Fragrance Body Spray for Women",4.7,592,[],"[""Body Fantasies Signature Vanilla by Parfums de Coeur is a Floral Fruity Gourmand fragrance for women launched during the 2000's. The fragrance features vanilla, jasmine, apple and musk.""]",27.99,"{'hi_res': array(['https://m.media-amazon.com/images/I/61sDuPkiqtL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51zEdo-ZocL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51zEdo-ZocL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Parfums De Coeur,[],"{""Brand"": ""Parfums De Coeur"", ""Item Form"": ""Spray"", ""Item Volume"": ""8 Fluid Ounces"", ""Scent"": ""Vanilla"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.15 x 6.5 x 2.76 inches; 8 Ounces""}",B072N95X6P,,,
All Beauty,Remy Human Hair Pieces Front Clip in Hair #1B Natural Black Fringe Hair Extensions with Hair Temples,3.7,22,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/71UNVzLdhLL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/613izRxUYIL._SL1002_.jpg',
       'https://m.media-amazon.com/images/I/61bJfxL9BWL._SL1000_.jpg',
       'https://m.media-amazon.com/images/I/616C6OBRzwL._SL1000_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/51fZiW2nr5L.jpg',
       'https://m.media-amazon.com/images/I/51y7OfAAtDL.jpg',
       'https://m.media-amazon.com/images/I/51G+2AeQsCL.jpg',
       'https://m.media-amazon.com/images/I/51X1jB0sRRL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/51fZiW2nr5L._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51y7OfAAtDL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51G+2AeQsCL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51X1jB0sRRL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",,[],"{""Material"": ""Human Hair"", ""Hair Type"": ""Straight"", ""Material Feature"": ""Natural"", ""Installation Type"": ""Clip-In"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""9 x 1 x 1 inches; 0.48 Ounces"", ""UPC"": ""615517482166""}",B07BXHZLV4,,,
All Beauty,Stretch Mask & Scar Removal Cream for Pregnancy Remove Acne Scars with Natural Herbal Extracts Anti Cellulite and Stretch Marks Remover Massage Safe for All Skin Types,3.2,48,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/61bICxwTYnL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71M-cmcEUcL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/7138YElV59L._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71fr6whXxPL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71GuQQ5FmeL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71gQr6SIdKL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/713M0cPCmEL._SL1500_.jpg',
       'https://m.media-amazon.com/images/I/71wpl5ASlvL._SL1500_.jpg'],
      dtype=object), 'large': array(['https://m.media-amazon.com/images/I/41EqgmEFQfL.jpg',
       'https://m.media-amazon.com/images/I/51Nt42siAAL.jpg',
       'https://m.media-amazon.com/images/I/51paPyjNZVL.jpg',
       'https://m.media-amazon.com/images/I/51iZ5EAK3XL.jpg',
       'https://m.media-amazon.com/images/I/51nv+3Jz8OL.jpg',
       'https://m.media-amazon.com/images/I/514IfVXFzgL.jpg',
       'https://m.media-amazon.com/images/I/51RxKwiaqSL.jpg',
       'https://m.media-amazon.com/images/I/51QLHNqpQ1L.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/41EqgmEFQfL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51Nt42siAAL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51paPyjNZVL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51iZ5EAK3XL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51nv+3Jz8OL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/514IfVXFzgL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51RxKwiaqSL._SS40_.jpg',
       'https://m.media-amazon.com/images/I/51QLHNqpQ1L._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT04', 'PT05', 'PT06', 'PT07'],
      dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Lantique,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6 x 2 x 2 inches; 3.84 Ounces"", ""UPC"": ""721352041724"", ""Manufacturer"": ""Lantique""}",B07FQG965K,,,
All Beauty,"TULA Probiotic Skin Care Supersize 24-7 Moisture Hydrating Day & Night Cream | Holiday 2020, Ageless is the New Anti-Aging, Face Cream, Contains Watermelon Fruit and Blueberry Extract | 3.4 oz",4.7,149,[],[],None,"{'hi_res': array(['https://m.media-amazon.com/images/I/51idezcJd-S._SL1414_.jpg',
       None, None, None, None, None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/31YBvSrHx1S.jpg',
       'https://m.media-amazon.com/images/I/31SKCwtvaDS.jpg',
       'https://m.media-amazon.com/images/I/21ptfvvexzS.jpg',
       'https://m.media-amazon.com/images/I/31cRZhhEkPS.jpg',
       'https://m.media-amazon.com/images/I/418i178uduS.jpg',
       'https://m.media-amazon.com/images/I/41IbKWmTBRS.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/31YBvSrHx1S._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31SKCwtvaDS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/21ptfvvexzS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/31cRZhhEkPS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/418i178uduS._SS40_.jpg',
       'https://m.media-amazon.com/images/I/41IbKWmTBRS._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN', 'PT01', 'PT02', 'PT03', 'PT05', 'PT06'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",TULA,[],"{""Brand"": ""TULA"", ""Scent"": ""Watermelon"", ""Item Form"": ""Cream"", ""Unit Count"": ""3.4 Ounce"", ""Number of Items"": ""1"", ""Package Dimensions"": ""5.43 x 5.16 x 3.43 inches; 3.4 Ounces"", ""UPC"": ""850014698355""}",B08WF29DM9,,,
All Beauty,"Zia Natural Skincare Ultimate Body Butter, 6 oz",5.0,7,"['Safflower oil, organic elder and cucumber oil calm inflammation and restore moisture.'
 'Essential oils of neroli, myrrh and lavender aid healing and cell regeneration.'
 'Vitamin E, green tea and beta carotene fight free radical damage.']","['Discover why our customers cannot get enought of this product. This rich, luxurious cream uses shea and mango butters to lavish the skin with moisture. A blend of organic botanicals including aloe, chamomile and ginko biloba, soothe dry, irritated skin and aid cell repair. Green tea, rosehip seed and essential oils are added to fight damage and promote cellular regeneration. Great for elbows, feet, and other areas prone to dry skin']",None,"{'hi_res': array([None], dtype=object), 'large': array(['https://m.media-amazon.com/images/I/417BC99T5AL.jpg'],
      dtype=object), 'thumb': array(['https://m.media-amazon.com/images/I/417BC99T5AL._SS40_.jpg'],
      dtype=object), 'variant': array(['MAIN'], dtype=object)}","{'title': array([], dtype=object), 'url': array([], dtype=object), 'user_id': array([], dtype=object)}",Zia,[],"{""Brand"": ""Zia"", ""Item Form"": ""Cream"", ""Unit Count"": ""6.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""Dry"", ""Is Discontinued By Manufacturer"": ""Yes"", ""Package Dimensions"": ""3.1 x 3 x 2.4 inches; 8.48 Ounces"", ""Item model number"": ""8018I"", ""UPC"": ""758024007641"", ""Manufacturer"": ""Zia""}",B0007CHJGY,,,
